"attage","sex","smoker","exposure","actual_dths","expected_dths","actual_mort","expected_mort"
57,"F","S",684.4577,3,5.01578,0.00438303199744849,0.0073281080773874
57,"F","U",1528.3686,7,7.05793,0.00458004698604774,0.00461795014631941
57,"M","N",5444.3943,17,22.12941,0.00312247773824905,0.00406462294621093
57,"M","S",1163.8945,9,10.21907,0.00773265961820423,0.00878006554717803
57,"M","U",2460.2506,8,13.76357,0.00325170126978122,0.00559437725571533
57,"U","N",128.0616,0,0.495,0,0.00386532731123147
57,"U","S",21.0695,0,0.17071,0,0.00810223308574005
57,"U","U",70.203,1,0.36198,0.0142444055097361,0.00515618990641426
58,"F","N",3566.1965,5,13.33272,0.00140205398104115,0.00373863863082138
58,"F","S",713.964,2,5.66658,0.00280126168826439,0.00793678672874262
58,"F","U",1637.577,5,8.35777,0.00305329153987874,0.00510374168665046
58,"M","N",5262.6688,17,23.64328,0.00323030018533562,0.00449264069211424
58,"M","S",1118.4009,5,10.74863,0.00447066879148613,0.00961071293844631
58,"M","U",2461.4776,13,14.98171,0.00528138058213489,0.00608647017547509
58,"U","N",168.3636,1,0.73323,0.00593952612084797,0.00435503873758936
58,"U","S",32.6024,0,0.29292,0,0.00898461462959782
58,"U","U",85.2573,0,0.46999,0,0.00551260713158873
59,"F","N",3352.6328,10,13.70178,0.00298273046782815,0.00408687166694784
59,"F","S",703.4579,2,5.99154,0.00284309835741414,0.00851726876619056
59,"F","U",1715.9867,5,9.64349,0.00291377549721102,0.0056197929739199
59,"M","N",5357.9059,20,26.5005,0.00373280165297416,0.00494605551023209
59,"M","S",1108.2115,6,11.72277,0.00541412898169709,0.0105780981337949
59,"M","U",2754.7656,19,18.54094,0.00689713854420136,0.00673049641682762
59,"U","N",170.0003,1,0.77504,0.00588234256057195,0.00455905077814569
59,"U","S",23.4495,0,0.22832,0,0.0097366681592358
59,"U","U",70.3441,0,0.46262,0,0.00657652880625383
60,"F","N",3253.1554,6,14.64432,0.00184436316814131,0.00450157407174585
60,"F","S",674.7633,2,6.45898,0.00296400233978345,0.00957221591630725
60,"F","U",1644.8645,9,9.82886,0.0054715753182101,0.00597548308690473
60,"M","N",5361.1179,25,29.55207,0.00466320653011567,0.00551229623209741
60,"M","S",1161.9109,8,13.43693,0.00688520952854474,0.0115645098087986
60,"M","U",2799.1966,18,20.87137,0.00643041649879112,0.00745620011113189
60,"U","N",126.3406,0,0.65055,0,0.00514917611599122
60,"U","S",25.5472,0,0.27279,0,0.0106778825076721
60,"U","U",71.5334,0,0.48447,0,0.00677264047284206
61,"F","N",3311.3937,5,15.80167,0.00150993824745152,0.00477190918132145
61,"F","S",671.3064,5,6.99846,0.00744816375949939,0.0104251352288612
61,"F","U",1699.9766,8,11.07926,0.0047059471289193,0.00651730147344381
61,"M","N",5126.0338,15,30.68065,0.00292623899592703,0.00598526096335923
61,"M","S",1122.7043,10,14.09352,0.00890706484334299,0.0125531896510951
61,"M","U",2989.0265,19,24.9649,0.006356584660591,0.00835218423122043
61,"U","N",129.4879,0,0.73744,0,0.00569504949883348
61,"U","S",28.2976,0,0.32238,0,0.0113924855818161
61,"U","U",89.0732,1,0.65217,0.0112267213931912,0.00732173089099752
62,"F","N",2893.4677,9,15.2744,0.00311045462854139,0.00527892535313251
62,"F","S",745.8276,3,8.44739,0.00402237728933603,0.0113261965633881
62,"F","U",1706.9854,9,12.25364,0.00527245282824329,0.00717852654158612
62,"M","N",5122.0177,22,33.70061,0.00429518234581657,0.00657955750523861
62,"M","S",1146.7921,11,15.78365,0.00959197399424011,0.0137633054849262
62,"M","U",3049.0251,27,27.59371,0.00885528951532738,0.00905001077229571
62,"U","N",160.3588,0,0.95578,0,0.00596025911892581
62,"U","S",34.663,0,0.47827,0,0.0137977093731068
62,"U","U",83.0378,0,0.70999,0,0.00855020243792586
63,"F","N",2816.1322,9,16.05177,0.00319587269376061,0.00569993482550287
63,"F","S",665.3791,6,7.98414,0.00901741578597825,0.0119993850122434
63,"F","U",1809.4303,8,14.07255,0.00442128110709763,0.00777733743046085
63,"M","N",4811.6695,20,35.48048,0.00415656145959318,0.00737383978679334
63,"M","S",1189.5348,10,17.6886,0.00840664770799476,0.0148701828647636
63,"M","U",3062.3275,19,30.83487,0.00620443110673173,0.0100690961368436
63,"U","N",123.3944,2,0.84524,0.0162081909713893,0.00684990566832855
63,"U","S",33.6281,1,0.48168,0.0297370353959932,0.014323735209542
63,"U","U",153.0783,0,1.32522,0,0.00865713820966133
64,"F","N",2671.0601,7,16.57881,0.00262068232758971,0.00620682776849536
64,"F","S",600.6059,2,8.01367,0.00332997061800425,0.0133426428211911
64,"F","U",1657.7457,10,13.74955,0.00603228830573954,0.0082941249674181
64,"M","N",4540.8211,22,36.53596,0.00484493872705093,0.00804611306972653
64,"M","S",1159.5203,13,19.07952,0.0112115329071858,0.0164546666410239
64,"M","U",3226.7535,29,35.42603,0.00898736144549003,0.0109788460754749
64,"U","N",108.7975,1,0.76152,0.00919138766975344,0.00699942553827064
64,"U","S",32.8084,0,0.50817,0,0.0154890211043513
64,"U","U",76.8907,1,0.78947,0.0130054740040083,0.0102674315619444
65,"F","N",2588.5595,14,17.6913,0.00540841344384782,0.0068344189113675
65,"F","S",594.3917,3,8.48449,0.00504717680277164,0.0142742403704493
